컬럼_1,컬럼_2,컬럼_3,컬럼_4,컬럼_5,컬럼_6,컬럼_7,컬럼_8,컬럼_9,컬럼_10,컬럼_11,컬럼_12
기아,A+,A+,A+,A,A+,-,-,B,66,,
기업은행,A,A,A+,A,B+,-,-,B,38,,
까뮤이앤씨,C,D,C,B+,-,-,-,-,-,,
깨끗한나라,B,B+,B,B,-,-,-,-,-,,
남광토건,C,D,C,B,-,-,-,-,-,,
남선알미늄,C,C,B,B,-,-,-,-,14,,
남성,C,D,C,B,-,-,-,-,-,,
남양유업,B+,B+,B+,B+,-,-,-,-,-,,
남해화학,B,C,B,B+,-,-,-,-,9,,
넥센,B+,B+,A,B,-,-,-,-,-,,
넥센타이어,B+,B+,A,B+,A+,-,-,-,44,,
넷마블,B+,D,B+,A,B+,-,-,BBB,13,,
노루페인트,A,A,A+,B+,-,-,-,-,-,,
노루홀딩스,A,A,A+,B+,-,-,-,-,-,,
녹십자,B+,B+,B+,B+,B+,-,-,CCC,23,,
녹십자홀딩스,B+,B+,B+,B+,B+,-,-,-,21,,
농심,B+,B,A,B,A,-,-,-,9,,
농심홀딩스,B+,B,A,B+,-,-,-,-,-,,
다스코,B,B,C,B+,-,-,-,-,-,,
다올투자증권,B+,C,A,B+,-,-,-,-,14,,
다우기술,B+,B,A,B+,-,-,-,-,9,,
다이나믹디자인,C,C,C,C,-,-,-,-,-,,
대교,B+,D,B+,A,-,-,-,-,-,,
대구백화점,B,D,B+,B+,-,-,-,-,-,,
대덕,A,B+,A,A,-,-,-,-,14,,
대동,B+,B,B,B+,-,-,-,-,-,,
대동전자,C,C,C,B+,-,-,-,-,-,,
대림비앤코,C,C,C,B+,-,-,-,-,-,,
대림통상,C,C,C,C,-,-,-,-,-,,
대상,A,A,A+,B+,B+,-,-,-,47,,
대상홀딩스,A,A,A+,B+,-,-,-,-,-,,
대성산업,C,C,C,B+,-,-,-,-,-,,
대성에너지,B,B,B,B,-,-,-,-,-,,
대성홀딩스,B,C,B+,B,-,-,-,-,-,,
대신증권,A,B,A+,A,-,-,-,-,28,,
대양금속,C,C,C,B,-,-,-,-,-,,
대영포장,C,C,C,C,-,-,-,-,-,,
대우건설,A,B+,A,A,B+,-,-,-,41,,
대우부품,C,C,C,B,-,-,-,-,-,,
대웅,B,D,B+,B,B+,-,-,-,19,,
대웅제약,C,D,B,B,B,-,-,-,22,,
대원강업,B,B,C,B+,-,-,-,-,-,,
대원전선,C,C,C,B,-,-,-,-,-,,
대원제약,B,D,B,B+,-,-,-,-,13,,
대원화성,B,B,B,B+,-,-,-,-,-,,
대유에이텍,C,C,C,B,-,-,-,-,-,,
대유플러스,C,C,C,C,-,-,-,-,-,,
대창,C,B,B,C,-,-,-,-,-,,
대창단조,B,B,C,B+,-,-,-,-,-,,
대한방직,C,C,C,B+,-,-,-,-,-,,
대한유화,B,B,B,B+,B+,-,-,-,8,,
대한전선,A,A,A+,A,A,-,-,-,23,,
대한제강,B,B,B,B,-,-,-,-,-,,
대한제당,B,B,C,B+,-,-,-,-,-,,
대한제분,B,C,C,B+,-,-,-,-,10,,
대한항공,A,A,A+,A,A,-,-,BB,35,,
대한해운,B,D,B,B+,-,-,-,-,17,,
대한화섬,B+,B,B+,B+,-,-,-,-,-,,
대현,B,D,B,B+,-,-,-,-,-,,
대호에이엘,B,B,C,B,-,-,-,-,-,,
더블유게임즈,B,D,B+,B+,B+,-,-,-,6,,
더존비즈온,B,C,B,B,-,-,-,BB,13,,
덕성,C,C,C,B+,-,-,-,-,-,,
덕양산업,C,C,C,B,-,-,-,-,-,,
덴티움,B,D,B,B+,-,-,-,-,-,,
도화엔지니어링,B+,B,B,B+,-,-,-,-,10,,
동국홀딩스,B+,B+,B,B+,A,-,-,-,22,,
동남합성,C,D,C,B,-,-,-,-,-,,
동방,C,B,D,B,-,-,-,-,-,,
동방아그로,C,D,C,B+,-,-,-,-,-,,
동부건설,C,C,D,B+,-,-,-,-,-,,
동서,C,D,C,B,B,-,-,-,6,,
동성제약,C,D,C,B+,-,-,-,-,15,,
동성케미컬,B+,B,B+,B+,-,-,-,-,16,,
동아쏘시오홀딩스,A,B+,A+,A,-,-,-,-,38,,
동아에스티,A,B+,A+,A,-,-,-,-,24,,
동아지질,C,D,D,B,-,-,-,-,7,,
동아타이어,C,D,C,B+,-,-,-,-,-,,
동양,C,C,C,B+,-,-,-,-,11,,
동양고속,B,C,C,B+,-,-,-,-,-,,
동양생명,B+,C,A,B+,-,-,-,-,9,,
동양철관,C,D,D,B,-,-,-,-,14,,
동양피스톤,B,B,C,B+,-,-,-,-,-,,
동원F&B,B+,B,A,B,B+,-,-,-,8,,
동원금속,C,D,C,B+,-,-,-,-,-,,
동원산업,B,C,B+,B+,B,-,-,-,16,,
동원수산,C,D,C,B+,-,-,-,-,-,,
동원시스템즈,B,C,B+,B,A,-,-,-,10,,
동일고무벨트,B+,B,B+,B+,-,-,-,-,-,,
동일산업,B,B,C,B+,-,-,-,-,-,,
동일제강,C,C,C,B,-,-,-,-,-,,
동화약품,B,D,B+,B,-,-,-,-,21,,
두산,A,A,A+,B+,A,-,-,-,73,,
두산밥캣,B+,C,A,A,A,-,-,BB,32,,
두산에너빌리티,A,A+,A,B+,A,-,-,B,72,,
두산퓨얼셀,B+,B,A,A,B+,-,-,-,14,,
두올,B,C,B,B+,-,-,-,-,-,,
드림텍,C,C,C,B+,-,-,-,-,-,,
디씨엠,C,D,C,B+,-,-,-,-,-,,
디아이,B,D,B,B+,-,-,-,-,-,,
디아이동일,C,D,C,B+,-,-,-,-,-,,
디아이씨,C,C,C,B,-,-,-,-,-,,
디와이,B,C,C,B+,-,-,-,-,-,,
디와이파워,B,C,C,B+,-,-,-,-,-,,
락앤락,C,C,C,B+,-,-,-,-,6,,
롯데관광개발,B,D,B,B,B,-,-,-,7,,
롯데손해보험,A,B,A+,A,-,-,-,-,17,,
롯데쇼핑,A,A,A+,A,B+,-,-,BB,19,,
롯데에너지머티리얼즈,C,C,C,B,B,-,-,CCC,5,,
롯데웰푸드,A,A,A,A,-,-,-,-,36,,
롯데이노베이트,A,A,A,A,-,-,-,-,-,,
롯데정밀화학,A,A,A+,A,A+,-,-,-,34,,
롯데지주,A,B+,A+,A,A,-,-,-,12,,
롯데칠성음료,A,B+,A+,A,A,-,-,-,-,,
롯데케미칼,A,B,A+,A,A,-,-,BBB,47,,
롯데푸드,A,B+,A,A,-,-,-,-,-,,
롯데하이마트,A,A,A+,A,-,-,-,-,41,,
마니커,C,D,B,B,-,-,-,-,-,,
만호제강,C,C,C,B+,-,-,-,-,-,,
맵스리얼티1,-,-,-,-,-,-,-,-,4,,
메리츠금융지주,B+,D,B+,A,B+,-,-,-,6,,
메리츠증권,B+,C,A,B+,A,-,-,CCC,21,,
메리츠화재,B,D,B+,B+,-,-,-,-,5,,
메타랩스,C,D,C,B+,-,-,-,-,-,,
메타케어,B,D,B,B,-,-,-,-,-,,
명문제약,B,D,B,B+,-,-,-,-,-,,
명신산업,-,-,-,-,C,-,-,-,-,,
모나리자,B,B,C,B,-,-,-,-,-,,
모나미,C,D,C,B,-,-,-,-,-,,
모나용평,C,C,C,B,-,-,-,-,-,,
모토닉,B,B,B,B+,-,-,-,-,-,,
무림P&P,A,B+,A,A,-,-,-,-,-,,
무림페이퍼,A,B+,B+,A,-,-,-,-,-,,
무학,B,D,B,B+,-,-,-,-,-,,
문배철강,C,D,C,B,-,-,-,-,-,,
미래산업,C,C,C,C,-,-,-,-,-,,
미래아이앤지,C,D,C,C,-,-,-,-,-,,
미래에셋생명,B+,C,A+,B+,-,-,-,-,7,,
미래에셋증권,B+,A,A+,B,A,-,-,BBB,75,,
미원상사,C,C,D,B,-,-,-,-,-,,
미원에스씨,C,C,C,B+,-,-,-,-,-,,
미원홀딩스,C,C,C,B,-,-,-,-,-,,
미원화학,C,C,C,B+,-,-,-,-,-,,
미창석유공업,C,C,C,B,-,-,-,-,-,,
방림,C,C,C,B+,-,-,-,-,-,,
백광산업,B,B,C,B,-,-,-,-,-,,
백산,C,C,B,B,-,-,-,-,-,,
범양건영,C,D,B,C,-,-,-,-,-,,
벽산,B,B+,B,B,-,-,-,-,-,,
보락,C,D,C,B,-,-,-,-,-,,
보령,B+,B,A,B+,B+,-,-,-,18,,
보해양조,C,D,C,B,-,-,-,-,-,,
부광약품,C,D,D,B+,B,-,-,-,11,,
부국증권,C,D,B,C,-,-,-,-,-,,
부국철강,C,D,C,B,-,-,-,-,-,,
부산산업,C,D,D,B,-,-,-,-,-,,
부산주공,C,B,D,B,-,-,-,-,-,,
비비안,D,D,C,C,-,-,-,-,-,,
비상교육,B,D,B+,B+,-,-,-,-,-,,
비에이치,-,-,-,-,-,-,-,-,19,,
비케이탑스,C,D,C,C,-,-,-,-,-,,
빙그레,A,A,A+,A,-,-,-,-,20,,
사조대림,B+,C,A,B+,-,-,-,-,-,,
사조동아원,B,C,B,B+,-,-,-,-,-,,
사조산업,B,C,B,B+,-,-,-,-,3,,
사조씨푸드,B,C,B+,B+,-,-,-,-,-,,
사조오양,C,D,B,C,-,-,-,-,-,,
삼부토건,C,C,D,B+,-,-,-,-,-,,
삼성E&A,A,A,A+,A,A+,-,-,BBB,70,,
삼성SDI,A,A,A+,B+,A+,-,-,A,76,,
삼성공조,C,C,C,B,-,-,-,-,-,,
삼성물산,A,A,A+,A,A,-,-,A,70,,
삼성바이오로직스,A,A,A+,A,B+,-,-,B,62,,
삼성생명,A,A,A+,B+,B+,-,-,BBB,54,,
삼성에스디에스,A,A,A+,A,A+,-,-,A,77,,
삼성전기,A,A,A+,B+,S,-,-,BBB,73,,
삼성전자,B+,A,A+,B,A,-,-,A,48,,
삼성제약,C,D,C,B,-,-,-,-,16,,
삼성중공업,B+,B,A,B+,A,-,-,CCC,55,,
삼성증권,A,A,A+,B+,A,-,-,A,77,,
삼성출판사,C,D,D,B+,-,-,-,-,-,,
삼성카드,A,A+,A+,A,A,-,-,-,16,,
삼성화재해상보험,A,A+,A+,B+,A,-,-,A,72,,
삼아알미늄,B,B,C,B+,-,-,-,-,-,,
삼양사,A,A,A,B+,-,-,-,-,10,,
삼양식품,A,A,A+,A,-,-,-,-,15,,
삼양통상,B,C,C,B+,-,-,-,-,-,,
삼양패키징,B+,B,B+,B+,-,-,-,-,-,,
삼양홀딩스,B+,A,A,B,A,-,-,-,14,,
삼영,B,B,C,B,-,-,-,-,-,,
삼영무역,B,D,C,B+,-,-,-,-,10,,
삼영전자공업,B,B,B,B+,-,-,-,-,-,,
삼원강재,C,B,D,B,-,-,-,-,-,,
삼익THK,B+,B,B,B+,-,-,-,-,7,,
삼익악기,C,D,C,B+,-,-,-,-,-,,
삼일씨엔에스,B,C,B,B+,-,-,-,-,-,,
삼일제약,B,D,B,B+,-,-,-,-,-,,
삼정펄프,C,C,D,B,-,-,-,-,-,,
삼진제약,B,D,B,B+,-,-,-,-,18,,
삼천리,B+,B,A,B+,-,-,-,-,11,,
삼호개발,C,D,D,B,-,-,-,-,-,,
삼화왕관,B,B,C,B,-,-,-,-,-,,
삼화전기,C,C,C,B,-,-,-,-,-,,
삼화전자공업,C,C,C,B,-,-,-,-,-,,
삼화콘덴서공업,C,C,B,B,-,-,-,-,15,,
삼화페인트공업,B+,B+,B+,A,-,-,-,-,-,,
상상인증권,C,D,B,D,-,-,-,-,-,,
상신브레이크,B,B,B,B,-,-,-,-,-,,
새론오토모티브,C,C,C,B,-,-,-,-,-,,
샘표,B,B,B+,B,-,-,-,-,-,,
샘표식품,B,B,B+,B,-,-,-,-,-,,
서연,B+,B+,A,B+,-,-,-,-,-,,
서연이화,A,B+,A,A,-,-,-,-,-,,
서울도시가스,B+,C,B+,A,-,-,-,-,-,,
서울식품공업,B+,B,B,B+,-,-,-,-,-,,
서원,B,B,C,B+,-,-,-,-,-,,
서흥,B,C,B,B+,-,-,-,-,17,,
선도전기,C,C,C,B,-,-,-,-,-,,
선진,B+,B,A,B,-,-,-,-,12,,
성문전자,C,C,C,C,-,-,-,-,-,,
성보화학,B,D,B,B+,-,-,-,-,-,,
성신양회,B+,B+,B+,B+,-,-,-,-,27,,
성안머티리얼스,D,D,C,C,-,-,-,-,-,,
성창기업지주,C,D,C,C,-,-,-,-,-,,
세기상사,C,D,C,B,-,-,-,-,-,,
세방,B,B,D,B+,-,-,-,-,-,,
세방전지,B,B,B,B+,A,-,-,-,42,,
세아베스틸지주,B+,B+,B,B+,-,-,-,-,8,,
세아제강,B+,B+,B+,B+,-,-,-,-,-,,
세아제강지주,B+,B+,B+,B+,-,-,-,-,-,,
세아특수강,B+,B+,B+,B+,-,-,-,-,-,,
세아홀딩스,B+,B+,B+,B+,-,-,-,-,-,,
세우글로벌,D,D,C,D,-,-,-,-,-,,
세원이앤씨,C,D,C,B,-,-,-,-,6,,
세원정공,C,C,B,C,-,-,-,-,-,,
세이브존I&C,C,D,C,B,-,-,-,-,-,,
세진중공업,C,C,C,B+,-,-,-,-,-,,
셀트리온,B,C,B+,B+,B+,-,-,B,27,,
솔루스첨단소재,B,D,B,B+,-,-,-,-,6,,
송원산업,C,B,B,C,-,-,-,-,32,,
수산중공업,C,D,C,B+,-,-,-,-,-,,
스틱인베스트먼트,C,D,C,B+,-,-,-,-,-,,
시디즈,C,C,C,C,-,-,-,-,-,,
시알홀딩스,B,B,B,B,-,-,-,-,-,,
신대양제지,C,C,C,B,-,-,-,-,-,,
신도리코,C,C,C,B+,-,-,-,-,10,,
신라교역,C,D,D,B+,-,-,-,-,-,,
신성이엔지,B,B,C,B+,-,-,-,-,11,,
신성통상,C,C,C,B,-,-,-,-,-,,
신세계,A,A,A+,A,A,-,-,-,17,,
신세계I&C,B+,B,B+,A,-,-,-,-,24,,
신세계건설,B+,C,A,A,-,-,-,-,-,,
신세계인터내셔날,A,B+,A,A,B+,-,-,-,10,,
신세계푸드,A,B+,A,A,-,-,-,-,14,,
신송홀딩스,C,D,C,B,-,-,-,-,-,,
신영와코루,C,D,B,B,-,-,-,-,-,,
신영증권,B,D,C,B+,-,-,-,-,-,,
신원,C,D,B,B,-,-,-,-,-,,
신일전자,C,D,D,B+,-,-,-,-,9,,
신풍,B+,B,B,B+,-,-,-,-,-,,
신풍제약,B,D,B,B+,B,-,-,B,15,,
신한지주,A+,A+,A+,A+,A,-,-,AA,84,,
신흥,B,D,B,B,-,-,-,-,-,,
쌍방울,C,D,B,C,-,-,-,-,5,,
쌍용씨앤이,A,A,A,B+,A,-,-,-,22,,
써니전자,C,D,B,B,-,-,-,-,-,,
씨아이테크,C,D,C,C,-,-,-,-,-,,
씨에스윈드,B,B,C,B+,B+,-,-,-,3,,
씨티알모빌리티,B,D,B,B+,-,-,-,-,-,,
아남전자,C,C,C,B,-,-,-,-,17,,
아모레퍼시픽,A,A,A+,A,A+,-,-,A,80,,
아모레퍼시픽그룹,A,A,A+,A,A,-,-,AA,49,,
아세아,B+,B,B+,B+,-,-,-,-,-,,
아세아시멘트,B+,B+,B+,B,-,-,-,-,27,,
아세아제지,B,C,B+,B,-,-,-,-,25,,
아센디오,C,D,D,B,-,-,-,-,-,,
아시아나IDT,D,B,C,D,-,-,-,-,-,,
아시아나항공,C,B+,A,D,B+,-,-,-,13,,
아이마켓코리아,B,D,B+,B+,-,-,-,-,17,,
아이에스동서,B+,B,B+,B+,B+,-,-,-,5,,
아이에이치큐,C,D,C,B,-,-,-,-,8,,
알루코,C,C,D,B,-,-,-,-,5,,
애경산업,A,B+,A+,B+,-,-,-,-,16,,
애경케미칼,B,B,C,B,-,-,-,-,14,,
에넥스,B,C,B,B,-,-,-,-,-,,
에스디바이오센서,-,-,-,-,-,-,-,-,14,,
에스엘,B+,B+,B+,B+,A,-,-,-,19,,
에스원,A,B,A,A,B+,-,-,BB,11,,
에스제이엠,B,C,B,B+,-,-,-,-,-,,
에스제이엠홀딩스,B,C,B,B,-,-,-,-,-,,
에스케이바이오팜,-,-,-,-,A,-,-,BBB,19,,
에쓰씨엔지니어링,C,C,C,B,-,-,-,-,-,,
에어부산,C,C,B,D,-,-,-,-,-,,
에이블씨엔씨,B+,C,B+,B+,-,-,-,-,30,,
에이엔피,C,C,C,B,-,-,-,-,-,,
에이프로젠,C,D,C,C,-,-,-,-,-,,
에이프로젠바이오로직스,C,D,C,C,-,-,-,-,14,,
에코바이브,D,D,C,D,-,-,-,-,-,,
엔씨소프트,A,B+,A,A,A,-,-,A,25,,
엔에이치엔,B+,C,A,A,-,-,-,-,13,,
엔케이,C,B,C,C,-,-,-,-,-,,
엔피씨,C,C,D,C,-,-,-,-,-,,
엘앤에프,B+,B,B+,B+,-,-,-,B,9,,
엘에스일렉트릭,A,B+,A+,B+,A+,-,-,-,30,,
엠씨넥스,C,C,B,B,-,-,-,-,13,,
영보화학,B,B,C,B,-,-,-,-,-,,
영원무역,B+,B+,B+,B+,B+,-,-,-,17,,
영원무역홀딩스,A,B+,B+,A,-,-,-,-,-,,
영진약품,B+,B+,A,B+,B+,-,-,-,14,,
영풍,C,D,C,B+,B,-,-,-,7,,
영풍제지,B,B,C,B,-,-,-,-,-,,
영화금속,C,C,C,B+,-,-,-,-,-,,
영흥,B,C,B,B+,-,-,-,-,-,,
예스코홀딩스,B+,B,B+,B+,-,-,-,-,-,,
오뚜기,A,B+,A+,B+,A,-,-,-,27,,
오리엔트바이오,C,D,C,C,-,-,-,-,-,,
오리온,A,A,A,B+,A,-,-,B,4,,
